sample_id,Class_encoded,Class
4285,2,CALI
3216,0,BARBUNYA
7254,4,HOROZ
7966,6,SIRA
5401,2,CALI
13390,3,DERMASON
4090,2,CALI
1059,5,SEKER
10296,3,DERMASON
3966,2,CALI
10587,3,DERMASON
6357,4,HOROZ
8600,6,SIRA
9173,6,SIRA
4382,2,CALI
2300,0,BARBUNYA
12178,3,DERMASON
2751,0,BARBUNYA
10402,3,DERMASON
5705,4,HOROZ
743,5,SEKER
6075,4,HOROZ
6710,4,HOROZ
906,5,SEKER
1365,5,SEKER
211,5,SEKER
4015,2,CALI
10621,3,DERMASON
2189,0,BARBUNYA
7343,4,HOROZ
8226,6,SIRA
12916,3,DERMASON
10500,3,DERMASON
13218,3,DERMASON
8172,6,SIRA
7514,6,SIRA
8626,6,SIRA
3690,1,BOMBAY
10107,3,DERMASON
3952,2,CALI
12152,3,DERMASON
972,5,SEKER
6670,4,HOROZ
97,5,SEKER
5046,2,CALI
3582,1,BOMBAY
13303,3,DERMASON
12803,3,DERMASON
9082,6,SIRA
4232,2,CALI
7103,4,HOROZ
9365,6,SIRA
3175,0,BARBUNYA
12354,3,DERMASON
1852,5,SEKER
12095,3,DERMASON
78,5,SEKER
10125,3,DERMASON
2928,0,BARBUNYA
11615,3,DERMASON
2697,0,BARBUNYA
9458,6,SIRA
5643,4,HOROZ
11228,3,DERMASON
2409,0,BARBUNYA
4354,2,CALI
7656,6,SIRA
3902,2,CALI
1239,5,SEKER
6334,4,HOROZ
3495,1,BOMBAY
3831,1,BOMBAY
4626,2,CALI
9615,6,SIRA
35,5,SEKER
10084,3,DERMASON
4279,2,CALI
6569,4,HOROZ
10370,3,DERMASON
3624,1,BOMBAY
5339,2,CALI
5683,4,HOROZ
6074,4,HOROZ
11254,3,DERMASON
11575,3,DERMASON
4278,2,CALI
253,5,SEKER
9591,6,SIRA
450,5,SEKER
730,5,SEKER
283,5,SEKER
26,5,SEKER
8458,6,SIRA
8952,6,SIRA
5375,2,CALI
5912,4,HOROZ
5400,2,CALI
6473,4,HOROZ
12840,3,DERMASON
8336,6,SIRA
3090,0,BARBUNYA
10387,3,DERMASON
10510,3,DERMASON
980,5,SEKER
8315,6,SIRA
7193,4,HOROZ
4538,2,CALI
12791,3,DERMASON
5306,2,CALI
9567,6,SIRA
7627,6,SIRA
3176,0,BARBUNYA
4139,2,CALI
4421,2,CALI
13285,3,DERMASON
7985,6,SIRA
12595,3,DERMASON
9206,6,SIRA
6205,4,HOROZ
9161,6,SIRA
11379,3,DERMASON
4635,2,CALI
11111,3,DERMASON
10667,3,DERMASON
4956,2,CALI
7096,4,HOROZ
9456,6,SIRA
6305,4,HOROZ
2474,0,BARBUNYA
12858,3,DERMASON
8704,6,SIRA
8548,6,SIRA
6664,4,HOROZ
12704,3,DERMASON
11348,3,DERMASON
5713,4,HOROZ
