,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
Area,1.0,0.9667221821788795,0.9318335947128646,0.9516015990191636,0.24173479623558367,0.2674813683653085,0.9999392261797566,0.9849675237714004,0.05434484642304299,-0.19658453782649038,-0.35753033840155507,-0.2680668252526627,-0.8479583276678206,-0.6392907455884375,-0.2721448477270754,-0.35572143393129513
Perimeter,0.9667221821788795,1.0,0.9773377498852226,0.9131785552664615,0.3852756454051611,0.391065540073831,0.9676892116996265,0.991380429598064,-0.021159577122340446,-0.3039695684564698,-0.5476466716270895,-0.4068568630377102,-0.8646229449781985,-0.767592330878629,-0.4084352964035163,-0.42930977852597946
MajorAxisLength,0.9318335947128646,0.9773377498852226,1.0,0.8260515498022214,0.550334771204869,0.5419716241687534,0.9326070138970999,0.9617333598397031,-0.0780619114154585,-0.28430228387550915,-0.5963575755489281,-0.5683770732380253,-0.7736086650488229,-0.8592376422660594,-0.568184804539468,-0.4825271768079718
MinorAxisLength,0.9516015990191636,0.9131785552664615,0.8260515498022214,1.0,-0.009161130966064367,0.019573874789352456,0.951339328669715,0.9485388939185428,0.14595705590432298,-0.15583082402487006,-0.2103439449095063,-0.015066472701721366,-0.9472041671038304,-0.47134700447171324,-0.019326232698311272,-0.26374900130260237
AspectRation,0.24173479623558367,0.3852756454051611,0.550334771204869,-0.009161130966064367,1.0,0.9242925542796034,0.24330102497464334,0.30364703688997124,-0.3701835608103701,-0.26775428800422935,-0.7669792980868569,-0.9876872990527673,0.024592773226851383,-0.8378412167244442,-0.9785922752809353,-0.4492641468282778
Eccentricity,0.2674813683653085,0.391065540073831,0.5419716241687534,0.019573874789352456,0.9242925542796034,1.0,0.2692547916705269,0.3186670763900049,-0.3193618776590395,-0.2975923109076195,-0.7222724623886435,-0.970313021625403,0.019919681684350477,-0.8601407863156129,-0.981057697275398,-0.4493537361202661
ConvexArea,0.9999392261797566,0.9676892116996265,0.9326070138970999,0.951339328669715,0.24330102497464334,0.2692547916705269,1.0,0.9852262521812032,0.052563682989384956,-0.2061912881837896,-0.36208262036702993,-0.26992244843907853,-0.8479497346168958,-0.6408616218249111,-0.2740241596287165,-0.3620491856268654
EquivDiameter,0.9849675237714004,0.991380429598064,0.9617333598397031,0.9485388939185428,0.30364703688997124,0.3186670763900049,0.9852262521812032,1.0,0.02838294041142023,-0.23164769261719978,-0.43594453752899115,-0.32764997899408316,-0.8927407307501771,-0.7130686483496452,-0.3303893650382948,-0.3925117924752744
Extent,0.05434484642304299,-0.021159577122340446,-0.0780619114154585,0.14595705590432298,-0.3701835608103701,-0.3193618776590395,0.052563682989384956,0.02838294041142023,1.0,0.19138853747308604,0.34441115186887944,0.3542117463794875,-0.14161642449343595,0.23795571835891705,0.34762441363027285,0.14850239316182606
Solidity,-0.19658453782649038,-0.3039695684564698,-0.28430228387550915,-0.15583082402487006,-0.26775428800422935,-0.2975923109076195,-0.2061912881837896,-0.23164769261719978,0.19138853747308604,1.0,0.6071500460822832,0.3037661135848605,0.1533876196528751,0.3435593204087005,0.307662465240953,0.7021629063989452
roundness,-0.35753033840155507,-0.5476466716270895,-0.5963575755489281,-0.2103439449095063,-0.7669792980868569,-0.7222724623886435,-0.36208262036702993,-0.43594453752899115,0.34441115186887944,0.6071500460822832,1.0,0.7680863783973605,0.2302725139003079,0.7828242050976522,0.7631257312308789,0.47214896368548714
Compactness,-0.2680668252526627,-0.4068568630377102,-0.5683770732380253,-0.015066472701721366,-0.9876872990527673,-0.970313021625403,-0.26992244843907853,-0.32764997899408316,0.3542117463794875,0.3037661135848605,0.7680863783973605,1.0,-0.00939403251451893,0.8689391992520712,0.9986858130284293,0.48443581544349346
ShapeFactor1,-0.8479583276678206,-0.8646229449781985,-0.7736086650488229,-0.9472041671038304,0.024592773226851383,0.019919681684350477,-0.8479497346168958,-0.8927407307501771,-0.14161642449343595,0.1533876196528751,0.2302725139003079,-0.00939403251451893,1.0,0.46919737091556096,-0.00832019906858492,0.24861871426016374
ShapeFactor2,-0.6392907455884375,-0.767592330878629,-0.8592376422660594,-0.47134700447171324,-0.8378412167244442,-0.8601407863156129,-0.6408616218249111,-0.7130686483496452,0.23795571835891705,0.3435593204087005,0.7828242050976522,0.8689391992520712,0.46919737091556096,1.0,0.8729707785221534,0.5299320592017625
ShapeFactor3,-0.2721448477270754,-0.4084352964035163,-0.568184804539468,-0.019326232698311272,-0.9785922752809353,-0.981057697275398,-0.2740241596287165,-0.3303893650382948,0.34762441363027285,0.307662465240953,0.7631257312308789,0.9986858130284293,-0.00832019906858492,0.8729707785221534,1.0,0.4842736816162234
ShapeFactor4,-0.35572143393129513,-0.42930977852597946,-0.4825271768079718,-0.26374900130260237,-0.4492641468282778,-0.4493537361202661,-0.3620491856268654,-0.3925117924752744,0.14850239316182606,0.7021629063989452,0.47214896368548714,0.48443581544349346,0.24861871426016374,0.5299320592017625,0.4842736816162234,1.0
