seed,model_name,sample_id,true_label,predicted_label,class_0_probability,class_1_probability,class_2_probability,class_3_probability,class_4_probability,class_5_probability,class_6_probability
1,logistic_regression,1223,5,5,6.980802365072253e-06,4.4384160444882615e-09,9.816237599104916e-10,8.84588847696716e-05,2.1685524081127435e-10,0.9998097713824515,9.478329351866853e-05
1,logistic_regression,11769,3,3,6.3936857703002935e-09,7.949108896388823e-13,1.1552577438606383e-09,0.9938530777585514,1.022668279533384e-05,2.2985221520681418e-05,0.006113702787394184
1,logistic_regression,12059,3,3,1.8268463821965286e-07,4.3454741622931857e-11,7.537911306470896e-09,0.9746415053676319,3.803386926156594e-06,0.0014451526349075457,0.0239093483445303
1,logistic_regression,7126,4,4,7.623033005097418e-06,1.1092802760318801e-08,0.0018672378241806422,1.1237689519003226e-09,0.9979867062302664,2.562475312955602e-09,0.00013841813350084107
1,logistic_regression,638,5,5,3.1302001567922497e-06,2.1627024277636348e-09,4.296064199455635e-09,0.011842145406377336,4.467847600953562e-09,0.9867799626681707,0.001374750798681075
1,logistic_regression,13211,3,3,4.7128537826004564e-05,1.934417497999952e-08,9.553822719656516e-06,0.540274642083815,6.403391970045294e-05,0.022006086864673115,0.4375985354270909
1,logistic_regression,12549,3,3,9.717957390201683e-07,3.998277049539704e-10,1.491781403758896e-07,0.8825465475429638,3.107850290546841e-05,0.0035040625921802285,0.11391718998824311
1,logistic_regression,10682,3,3,1.7733395497868416e-11,3.573139459810504e-15,3.217780365323609e-13,0.9998542508426334,3.950796127113945e-08,3.7550773001324643e-05,0.00010815885834547642
1,logistic_regression,2639,0,0,0.9994506318780106,7.30589604674974e-05,0.00031422069415263087,4.774793328822637e-12,2.5494140096203856e-08,0.0001506863449251166,1.1376623529225306e-05
1,logistic_regression,11764,3,3,3.570253704970353e-09,2.291882044183088e-13,5.830876221654788e-10,0.9935871297791716,4.645887999727118e-05,8.897510097430695e-06,0.006357509677163181
1,logistic_regression,10311,3,3,4.3533349756925114e-13,6.104115065299924e-17,2.744709668417697e-14,0.999958086218657,3.584450047725295e-07,1.571228061981657e-07,4.1398213068995545e-05
1,logistic_regression,1606,5,5,3.613262428958164e-05,1.7773879040508628e-08,6.409990318392763e-09,1.3471152431814404e-05,6.667598912434202e-11,0.9999010662569947,4.930571573864887e-05
1,logistic_regression,10888,3,3,1.2579625124590744e-10,7.92277629201048e-15,2.3574277434830885e-12,0.9994807688455545,9.246670727060287e-07,7.192511499204706e-06,0.0005111138477122624
1,logistic_regression,13206,3,3,5.885759245093922e-05,5.802770783609369e-09,4.1821649794846024e-06,0.5768597624200794,0.00016080459229894157,0.008795156995087459,0.4141212304323332
1,logistic_regression,1755,5,5,0.0008364342487352756,8.396190407558924e-07,3.083788518710302e-05,0.004265115178785222,3.6283687081566495e-07,0.9567310602200256,0.0381353500113553
1,logistic_regression,8677,6,6,0.006107133519840796,2.946844858372194e-07,0.00013664194479817715,0.02029489691577701,0.0008573325659488413,0.015678832149246306,0.956924868219903
1,logistic_regression,6761,4,4,7.1815714166698706e-06,2.4833718848166727e-09,0.000317273590554208,1.3952685348307512e-07,0.9981669892992855,2.1459836600386623e-08,0.001508392068681706
1,logistic_regression,10611,3,3,4.075131076298951e-06,9.899345975367538e-15,4.299681763887372e-14,0.997460127880091,2.3477037859655907e-05,4.112080293904074e-05,0.002471199147981294
1,logistic_regression,13061,3,3,4.662646080582538e-06,9.49094862748744e-10,1.1284031195235776e-06,0.8070613911414378,8.289122812732315e-05,0.0041777863555693155,0.18867213927657076
1,logistic_regression,9005,6,6,0.008593588494606388,5.349823891157601e-06,0.0010112916180041707,0.015449553875789494,3.975219891609641e-05,0.3691249898102707,0.6057754741785221
