sample_id,true_label,predicted_label,class_0_probability,class_1_probability,class_2_probability,class_3_probability,class_4_probability,class_5_probability,class_6_probability
1223,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11769,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12059,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7126,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
638,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13211,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12549,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10682,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2639,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11764,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10311,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1606,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10888,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13206,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1755,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8677,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6761,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10611,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13061,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9005,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10789,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7761,6,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
289,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12370,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6968,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1721,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6805,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1890,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3758,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6354,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9741,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5171,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2726,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7845,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2257,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11131,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
