seed,model_name,loaded_from_disk,training_time_seconds,prediction_time_seconds,warnings_count,model_path,predictions_path,probabilities_path
1,logistic_regression,False,0.1584,0.0,0,G:\Programming\xai\models\seed_1\logistic_regression.pkl,G:\Programming\xai\results\03_model_training\seed_1\logistic_regression_predictions.csv,G:\Programming\xai\results\03_model_training\seed_1\logistic_regression_probabilities.csv
1,decision_tree,False,0.1336,0.0023,0,G:\Programming\xai\models\seed_1\decision_tree.pkl,G:\Programming\xai\results\03_model_training\seed_1\decision_tree_predictions.csv,G:\Programming\xai\results\03_model_training\seed_1\decision_tree_probabilities.csv
1,random_forest,False,0.5444,0.092,0,G:\Programming\xai\models\seed_1\random_forest.pkl,G:\Programming\xai\results\03_model_training\seed_1\random_forest_predictions.csv,G:\Programming\xai\results\03_model_training\seed_1\random_forest_probabilities.csv
1,mlp,False,1.5568,0.0042,0,G:\Programming\xai\models\seed_1\mlp.pkl,G:\Programming\xai\results\03_model_training\seed_1\mlp_predictions.csv,G:\Programming\xai\results\03_model_training\seed_1\mlp_probabilities.csv
2,logistic_regression,False,0.1403,0.002,0,G:\Programming\xai\models\seed_2\logistic_regression.pkl,G:\Programming\xai\results\03_model_training\seed_2\logistic_regression_predictions.csv,G:\Programming\xai\results\03_model_training\seed_2\logistic_regression_probabilities.csv
2,decision_tree,False,0.1111,0.0015,0,G:\Programming\xai\models\seed_2\decision_tree.pkl,G:\Programming\xai\results\03_model_training\seed_2\decision_tree_predictions.csv,G:\Programming\xai\results\03_model_training\seed_2\decision_tree_probabilities.csv
2,random_forest,False,0.5835,0.0803,0,G:\Programming\xai\models\seed_2\random_forest.pkl,G:\Programming\xai\results\03_model_training\seed_2\random_forest_predictions.csv,G:\Programming\xai\results\03_model_training\seed_2\random_forest_probabilities.csv
2,mlp,False,1.217,0.0056,0,G:\Programming\xai\models\seed_2\mlp.pkl,G:\Programming\xai\results\03_model_training\seed_2\mlp_predictions.csv,G:\Programming\xai\results\03_model_training\seed_2\mlp_probabilities.csv
3,logistic_regression,False,0.1333,0.0015,0,G:\Programming\xai\models\seed_3\logistic_regression.pkl,G:\Programming\xai\results\03_model_training\seed_3\logistic_regression_predictions.csv,G:\Programming\xai\results\03_model_training\seed_3\logistic_regression_probabilities.csv
3,decision_tree,False,0.1325,0.0,0,G:\Programming\xai\models\seed_3\decision_tree.pkl,G:\Programming\xai\results\03_model_training\seed_3\decision_tree_predictions.csv,G:\Programming\xai\results\03_model_training\seed_3\decision_tree_probabilities.csv
