sample_id,true_label,predicted_label,class_0_probability,class_1_probability,class_2_probability,class_3_probability,class_4_probability,class_5_probability,class_6_probability
1223,5,5,0.0,0.0,0.0,0.045,0.0,0.945,0.01
11769,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12059,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7126,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
638,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13211,3,3,0.0,0.0,0.0,0.745,0.0,0.0,0.255
12549,3,3,0.0,0.0,0.0,0.98,0.0,0.0,0.02
10682,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2639,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11764,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10311,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1606,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10888,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13206,3,3,0.0,0.0,0.0,0.55,0.0,0.0,0.45
1755,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8677,6,6,0.0,0.0,0.0,0.0,0.0,0.005,0.995
6761,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10611,3,3,0.0,0.0,0.0,0.985,0.0,0.0,0.015
13061,3,3,0.0,0.0,0.0,0.94,0.0,0.0,0.06
9005,6,6,0.02,0.0,0.0,0.005,0.035,0.265,0.675
10789,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7761,6,6,0.005,0.0,0.0,0.41,0.055,0.0,0.53
289,5,5,0.0,0.0,0.0,0.015,0.0,0.985,0.0
12370,3,3,0.0,0.0,0.0,0.77,0.0,0.175,0.055
6968,4,4,0.0,0.0,0.025,0.0,0.965,0.0,0.01
1721,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6805,4,4,0.015,0.0,0.28,0.0,0.685,0.0,0.02
1890,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3758,1,1,0.0,0.995,0.005,0.0,0.0,0.0,0.0
6354,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9741,6,6,0.0,0.0,0.0,0.0,0.02,0.0,0.98
5171,2,2,0.065,0.0,0.935,0.0,0.0,0.0,0.0
2726,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7845,6,6,0.0,0.0,0.0,0.07,0.0,0.0,0.93
2257,0,0,0.61,0.0,0.15,0.0,0.2,0.0,0.04
11131,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4829,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9577,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8329,6,6,0.0,0.0,0.0,0.0,0.04,0.0,0.96
6061,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3405,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1795,5,5,0.005,0.0,0.0,0.0,0.0,0.99,0.005
6510,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2322,0,0,0.995,0.0,0.005,0.0,0.0,0.0,0.0
7750,6,6,0.0,0.0,0.0,0.31,0.0,0.025,0.665
6779,4,4,0.0,0.0,0.0,0.0,0.995,0.0,0.005
8012,6,6,0.0,0.0,0.0,0.1,0.0,0.0,0.9
1844,5,6,0.005,0.0,0.0,0.0,0.0,0.015,0.98
8476,6,6,0.155,0.0,0.0,0.0,0.0,0.035,0.81
9209,6,6,0.0,0.0,0.005,0.0,0.0,0.0,0.995
2008,5,0,0.4,0.0,0.02,0.0,0.0,0.19,0.39
3792,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1169,5,5,0.0,0.0,0.0,0.025,0.0,0.975,0.0
13514,3,6,0.0,0.0,0.0,0.335,0.015,0.0,0.65
6575,4,6,0.02,0.0,0.275,0.005,0.32,0.005,0.375
9409,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4500,2,2,0.01,0.0,0.98,0.0,0.01,0.0,0.0
3558,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5069,2,2,0.01,0.0,0.99,0.0,0.0,0.0,0.0
12381,3,3,0.0,0.0,0.0,0.705,0.0,0.0,0.295
11994,3,3,0.0,0.0,0.0,0.99,0.0,0.0,0.01
5312,2,2,0.135,0.0,0.86,0.0,0.005,0.0,0.0
2736,0,0,0.93,0.0,0.07,0.0,0.0,0.0,0.0
3509,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6516,4,4,0.0,0.0,0.02,0.0,0.95,0.0,0.03
2591,0,2,0.035,0.0,0.965,0.0,0.0,0.0,0.0
5599,4,4,0.0,0.0,0.0,0.285,0.46,0.0,0.255
3976,2,4,0.005,0.0,0.02,0.0,0.94,0.0,0.035
4781,2,2,0.03,0.0,0.97,0.0,0.0,0.0,0.0
7684,6,6,0.005,0.0,0.0,0.4,0.0,0.0,0.595
4534,2,2,0.03,0.0,0.97,0.0,0.0,0.0,0.0
112,5,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3984,2,2,0.095,0.0,0.905,0.0,0.0,0.0,0.0
4000,2,0,0.515,0.0,0.46,0.0,0.025,0.0,0.0
7209,4,4,0.035,0.0,0.02,0.0,0.94,0.0,0.005
6790,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1276,5,5,0.01,0.0,0.0,0.055,0.0,0.905,0.03
3316,0,0,0.995,0.0,0.005,0.0,0.0,0.0,0.0
12377,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10403,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
