seed,model_name,sample_id,true_label,predicted_label,class_0_probability,class_1_probability,class_2_probability,class_3_probability,class_4_probability,class_5_probability,class_6_probability
2,mlp,1223,5,5,3.250624459805749e-05,1.0262478393794096e-07,3.9452129182408824e-07,0.0006063222320685466,1.290795739414274e-05,0.9989689342929169,0.0003788321269467904
2,mlp,11769,3,3,2.421156350501537e-06,6.066340038163895e-06,1.9807137260621248e-06,0.9884546422247825,0.00019413880096163846,0.00010099624645679988,0.011239754517684235
2,mlp,12059,3,3,1.0785407128043188e-05,8.86552839059e-06,6.4543424929460415e-06,0.9499479354962628,0.0002186152378550209,0.000743689918742116,0.04906365406912826
2,mlp,7126,4,4,3.837849192718734e-06,1.3826886839279024e-06,0.0009890728382887517,9.588426373672972e-08,0.998955441127529,1.5471302979522826e-05,3.469830906240316e-05
2,mlp,638,5,5,1.991549140308041e-05,2.803227962261914e-07,1.0313231993347641e-06,0.005093800879723606,3.3460451142031266e-05,0.9942134058777296,0.0006381056540062142
2,mlp,13211,3,3,0.00022874679152900152,8.496287808281408e-05,0.00011859269456213927,0.5952753733004251,0.0018886375542799027,0.009690095604856036,0.39271359117626475
2,mlp,12549,3,3,3.1628958243314866e-05,2.0756860384629765e-05,2.1151595374228757e-05,0.88231287567066,0.0005724211271372374,0.0021319758169847857,0.11490918997121567
2,mlp,10682,3,3,6.59500190766052e-08,3.285772551565702e-07,1.363940034390659e-07,0.999673324473105,1.5894259684123093e-05,0.00015959686423720418,0.00015065348169607547
2,mlp,2639,0,0,0.9997910580028562,3.8254943205587855e-05,3.5685970936884835e-05,5.08837163113129e-07,1.9471309044411322e-05,0.00011469624700256962,3.2468979123394845e-07
2,mlp,11764,3,3,1.250821588689237e-06,6.519257951255508e-06,1.24535617504345e-06,0.9932844665026785,0.0003458821209461215,6.426852827642494e-05,0.006296367412383908
2,mlp,10311,3,3,1.71657844576226e-08,2.613040932739722e-07,2.533373909538288e-08,0.9998364730664073,1.3021793834790857e-05,4.5857422244284045e-06,0.000145615593916809
2,mlp,1606,5,5,2.7605767442475133e-05,5.166966691769607e-08,2.04995023023918e-07,0.00014477546332369444,7.33156720213037e-06,0.9996867150905606,0.00013331544678105538
2,mlp,10888,3,3,3.1815176670443244e-07,1.5705755958841967e-06,3.0909962368202483e-07,0.9985621593637979,4.216832718156473e-05,3.979009294288711e-05,0.001353684389091433
2,mlp,13206,3,3,0.000349587207366326,0.00016522820585254807,0.0001488725779249843,0.5515612001973323,0.002630318473157798,0.003541120792457922,0.4416036725459081
2,mlp,1755,5,5,0.00035049107733325176,6.286537910746056e-06,9.615910733257958e-05,0.0027241828886943784,0.0001958332248406118,0.9880496424398817,0.00857740472400681
2,mlp,8677,6,6,0.003628881709648794,2.2257941341386056e-05,0.00028427186242088655,0.0025184661729153158,0.0011060683410688168,0.002168625990686683,0.990271427981918
2,mlp,6761,4,4,8.713546000751372e-06,3.192009645382397e-07,0.00013174231417533377,1.0591093924428548e-06,0.9988973727489971,4.9286253861024096e-05,0.0009115068266087051
2,mlp,10611,3,3,1.7166723980945084e-05,1.834499328408172e-07,7.60504256731702e-09,0.9984709661471682,3.854058525463822e-05,0.001001485506911115,0.0004716499817096947
2,mlp,13061,3,3,6.767614095090192e-05,7.161372839553587e-05,5.308671507854512e-05,0.9098121197748492,0.0026111435179448994,0.00411578057010244,0.08326857955267833
2,mlp,9005,6,6,0.006242102530621167,0.0001013063398135802,0.0018140983720480873,0.012341371843291928,0.0024557294954461405,0.3452885932788862,0.6317567981398929
2,mlp,10789,3,3,1.9363168227661868e-07,1.3865118133448523e-06,1.666158109187405e-07,0.9990265680883231,3.6294391539136476e-05,1.3127806548718839e-05,0.0009222629542826258
2,mlp,7761,6,6,0.00013166828213060597,7.948245126112376e-05,0.00012950828090855314,0.09877044431505635,0.30972179354900103,0.0007287038794315983,0.5904383992422106
2,mlp,289,5,5,8.3683767603549e-05,1.0364640093777728e-06,2.443187772785338e-06,0.03982157379812746,9.85046993551382e-05,0.9543636498598367,0.005629108223294844
2,mlp,12370,3,3,1.5642729998951106e-05,8.197487004551037e-06,1.3239273946474193e-05,0.9497508248135665,0.0004358578009194792,0.028590555686438552,0.021185682208125625
2,mlp,6968,4,4,0.00016406421292990638,1.6836287149354925e-05,0.02036395450057701,2.6753735369897914e-06,0.977313580635215,0.00024610890144124065,0.0018927800891505378
2,mlp,1721,5,5,0.00012658568853729174,2.2451725348692034e-06,2.3493324800900504e-05,0.0019145203210828065,0.00010109399021990603,0.9953998675176448,0.0024321939851794793
2,mlp,6805,4,4,1.90136405048538e-07,3.8846704389965984e-08,0.0021883806536406284,3.747461511785556e-08,0.9977260398426238,1.1745145993036023e-05,7.35679000180719e-05
2,mlp,1890,5,5,9.704591900870105e-05,5.719426417618044e-07,1.007884642724483e-05,0.0002466308421523475,3.511176062831488e-05,0.999181053282052,0.000429507407089461
2,mlp,3758,1,1,1.4724042663887004e-07,0.9999979374640379,1.9146271784747755e-06,7.85507807366979e-18,6.683571389819959e-10,9.118096006737756e-17,3.8359639645496136e-23
2,mlp,6354,4,4,7.460112295406316e-06,3.493534552684211e-06,0.00022022517009021408,4.5339994209668705e-06,0.9991782915038793,5.8992509941348486e-05,0.0005270031698199354
2,mlp,9741,6,6,0.006834448024916061,4.950013698722371e-05,0.010786209721375001,0.0005052863362445125,0.011247887857322258,0.0020561419350579747,0.9685205259880969
2,mlp,5171,2,2,0.17633098729373428,0.0013833467865914295,0.8219786434200859,6.794281743141652e-08,0.00027933873748312086,2.664538261419964e-05,9.704366734563428e-07
2,mlp,2726,0,0,0.9999179472587646,1.4582535374646032e-05,9.903225294689925e-06,5.0350382632151124e-08,3.49086725968409e-05,2.257266945384439e-05,3.528813260393951e-08
2,mlp,50,5,5,1.6522585202336806e-06,1.3750889004983849e-08,4.0354737382101696e-08,0.0032629254077291936,4.341956823063949e-06,0.9966539414526847,7.708481861654662e-05
2,mlp,7845,6,6,0.00030832443111724635,4.6180895957089534e-05,0.00012304820425478705,0.045736090677456806,0.0007893787237067096,0.00032814430683929594,0.9526688327606682
2,mlp,2257,0,0,0.9680181060670444,3.0080757285169848e-05,0.0061772333382826665,4.121052709186945e-06,0.024626948025309382,0.0007958109349498815,0.0003476998244194456
2,mlp,11131,3,3,1.1675652474583042e-06,1.006226522661628e-06,1.125843067852729e-06,0.9915362061995525,6.116726822643498e-05,0.0068033984984977244,0.0015959283988851319
2,mlp,4829,2,2,0.006873138537828712,6.404870280139199e-05,0.9917483447253438,5.254230225234749e-08,0.0012850697709378127,2.7543512624253122e-05,1.802208161794947e-06
2,mlp,9577,6,6,0.002633196138710028,3.824339232234994e-05,0.00367579089342616,0.0005633418199178416,0.0069379960553846935,0.001254573668656172,0.9848968580315828
2,mlp,8329,6,6,0.0004421118257884866,5.982292746657327e-05,0.0002858788441128934,0.021642841935470777,0.13225896672669601,0.001305181483570733,0.8440051962568945
2,mlp,6061,4,4,9.403109655656139e-06,4.6775372756079896e-06,0.00026169571243867695,1.006915050162305e-05,0.9983515397433373,6.732201924181592e-05,0.0012952927275492125
2,mlp,3405,1,1,0.0011681589065934551,0.9978637458650454,0.000967887596303005,4.2309484515266203e-13,2.0760714435495398e-07,2.4490400013264474e-11,1.8106688543070735e-16
2,mlp,1795,5,5,0.00020022590676485925,1.4691930510365782e-06,2.114359565067564e-05,0.0006797002036291239,6.310745325696586e-05,0.9976504812562068,0.0013838723914404367
2,mlp,6510,4,4,0.0004628204160672541,2.6048799628462235e-05,0.010418279370169608,1.8781136243377784e-05,0.9812978209827483,0.0003692739264753208,0.007406975368667606
2,mlp,2322,0,0,0.999920026345834,5.326736546115207e-07,1.1543202190342006e-09,1.7533119895119457e-07,1.620538051228574e-06,7.763941982693284e-05,4.537114439246902e-09
2,mlp,7750,6,6,0.0001776260757056656,9.666226517738415e-06,2.1996068852515575e-05,0.03558649713845231,0.0009118932540497447,0.0005278759909478294,0.9627644452454742
2,mlp,6779,4,4,5.7337004451754e-06,2.0182897127568127e-07,9.970182035427115e-05,7.212969499181236e-07,0.9991950186103689,3.249729345248047e-05,0.0006661254494580576
2,mlp,8012,6,6,0.0002533437651286139,3.824063391600528e-05,0.000138102173740199,0.026409225325157156,0.0011660260433205597,0.00021405429851056125,0.9717810077602269
2,mlp,1844,5,6,0.0025902800101820105,1.7377203316627345e-05,0.0003458312716266651,0.0013934855801686836,0.001174301129770746,0.005456385419745889,0.9890223393851892
2,mlp,8476,6,6,0.0006863216909437551,7.040514969093628e-06,9.930085536947064e-05,0.0025063277508634643,0.0015248169143337678,0.0004143013576343306,0.9947618909158861
2,mlp,9209,6,6,0.0008691301378428125,2.0312027597835846e-05,0.0006636894365184303,0.0015042264965856814,0.0012805901328803695,0.00030270392807726736,0.9953593478404976
2,mlp,2008,5,0,0.5769980258081105,0.00035056299671077187,0.14524079769643586,0.0006063530917638566,0.00223956988969042,0.059355524862204745,0.2152091656550838
2,mlp,3792,1,1,4.0557387359928856e-10,0.9999999697241124,2.9865055120881664e-08,1.3101295466018912e-19,5.258718009589978e-12,1.6670408152735557e-19,6.864686880595976e-26
2,mlp,1169,5,5,1.1411227177895412e-05,1.462923326563941e-07,9.272105236870854e-07,0.0011489552444079773,1.7126961408076202e-05,0.9986306107809284,0.00019082228322131546
2,mlp,13514,3,6,0.0005599369577364583,9.93613451238158e-05,0.00025920662446108446,0.051004290380105254,0.004111578218023422,0.0007514441189381534,0.9432141823556117
2,mlp,6575,4,4,0.005151962559477511,8.196267325719134e-05,0.1389173132280989,0.000155596765987857,0.5035613279514294,0.002266642053094347,0.3498651947686549
2,mlp,9409,6,6,0.004566515420692264,1.9066936949797082e-05,0.0008832846430481314,0.0006641643428111049,0.0011723163611095395,0.004160409215429225,0.9885342430799599
2,mlp,4500,2,2,0.0023071385669813957,9.88628015021965e-05,0.9968247284786261,7.901128851329985e-08,0.000738561414248054,2.0904260437597993e-05,9.725466915940176e-06
2,mlp,3558,1,1,1.6329975180418902e-06,0.9999694631951086,2.8899987073392243e-05,1.0558712535564336e-15,3.820288338895737e-09,1.0352589021677018e-14,4.4338947777958625e-20
2,mlp,5069,2,2,0.0017933143676187506,0.00030574642535094535,0.9977479312274189,1.3537283687349517e-08,0.00014846559900841375,3.846916100500907e-06,6.819272190206118e-07
2,mlp,12381,3,3,0.00018410729250604736,3.342700721863523e-05,3.2267610010485946e-05,0.8080868021148178,0.0006997026014896284,0.009756496712018954,0.1812071966619384
2,mlp,11994,3,3,9.597491838631166e-06,1.440854230036161e-05,5.757319020069892e-06,0.9493426967764121,0.0003819597680243727,0.00019349067111197016,0.05005208943129233
2,mlp,5312,2,2,0.011769769512376895,0.0023099907557722122,0.9854443780495177,7.2993956674373214e-09,0.00047212133152962644,3.6699363682198614e-06,6.311503981648925e-08
2,mlp,2736,0,0,0.9492603649827758,0.0002696227372221662,0.04960702522076449,6.093526948641313e-07,0.0006505732964647279,0.00020841629209253102,3.3881179852988575e-06
2,mlp,3509,1,1,5.66121091496545e-06,0.9999932493311509,1.088336193950212e-06,3.733208143797514e-15,1.1216781859254572e-09,5.809480675105191e-14,2.750521511527764e-20
2,mlp,6516,4,4,2.551805292472146e-08,6.828151981097634e-09,8.076001645662987e-05,4.995632149044265e-08,0.9996871858169266,1.407139797570605e-06,0.00023056472429255066
2,mlp,2591,0,2,0.08296493738793773,0.00011811766528214646,0.9142710758504473,1.7408637504633195e-06,0.0022697086514129592,0.00027483464965283706,9.958493151642934e-05
2,mlp,5599,4,4,7.468525882929161e-05,5.55416740223176e-05,0.00013624981380640303,0.0400759826670979,0.6117200170085348,0.0005973405113412312,0.3473401830663681
2,mlp,3976,2,4,0.0011634601750882005,1.2130171967339661e-05,0.1273239807327243,2.2662837469748484e-06,0.8700715949434127,0.00028636366523113194,0.0011402040278292668
2,mlp,4781,2,2,0.02934736461368099,0.0001484428602919383,0.9696527039729336,1.2683476253542064e-07,0.000773440381720672,6.714561033165713e-05,1.0775726278708274e-05
2,mlp,7684,6,6,0.00022213009408140027,0.00012933334601369017,6.536355411259117e-05,0.4400323941364393,0.044460859753099886,0.0009336683365702335,0.514156250779683
2,mlp,4534,2,2,0.07509542661235451,9.749816226527383e-05,0.9186845442563693,3.575333486792907e-07,0.005970213196990237,0.000114331976580969,3.762826209125984e-05
2,mlp,112,5,5,2.764224299163807e-06,3.2633033648064928e-09,5.518159715262689e-09,0.00032590120306346407,1.245945593861584e-06,0.9996127900633138,5.728978226646846e-05
2,mlp,3984,2,2,0.0053057974753104665,0.0002343782665822719,0.9897604128848103,3.2471107163048007e-06,0.0032248121600290196,0.000211670881073133,0.0012596812214783323
2,mlp,4000,2,2,0.019190824885210993,6.893099364402965e-05,0.9629668120885858,3.3184204576289417e-06,0.016725960267340013,0.00037583546171524805,0.000668317883046378
2,mlp,7209,4,4,0.0260137225530126,3.0345827138505425e-05,0.0808920728852046,8.268811718250014e-06,0.8835696870280688,0.0018042556489992004,0.007681647245858047
2,mlp,6790,4,4,7.392425681455772e-06,1.354872805834466e-07,0.00013712985658876923,4.090647894741691e-07,0.999357785832884,2.2314814905011126e-05,0.0004748325178705736
2,mlp,1276,5,5,0.0011692274630489444,1.625026797679211e-05,5.55556549184557e-05,0.020331501650247687,0.0005160072210679178,0.9396297005431953,0.038281757199545054
2,mlp,3316,0,0,0.999998240686968,1.1871321726987908e-06,1.1027379168346426e-07,2.9161516045316724e-11,3.3919663029504923e-07,1.2268027092578818e-07,1.0050288005808295e-12
2,mlp,12377,3,3,1.5285929536754416e-05,1.9504641423261146e-05,1.4226566424394141e-05,0.9788804555381438,0.0004460504206965042,0.0021211640451230707,0.018503312858652473
2,mlp,10403,3,3,1.0179621683259382e-07,3.9423816736538305e-07,1.0107498854981628e-07,0.9994690394460636,8.102145313689707e-06,4.582758309201003e-05,0.0004764337161580459
2,mlp,886,5,5,8.789144903617934e-06,8.795525789406228e-08,4.412796482726659e-07,0.0014540950507797943,1.425859749269644e-05,0.9983138691316552,0.00020845884026258907
2,mlp,6246,4,4,5.70821509346516e-05,2.3597999267515072e-05,0.0009805851253601834,4.2698798658791984e-05,0.9936401146564275,0.0008819121219610793,0.004374009147390418
2,mlp,13071,3,3,0.0002725112016833276,7.783510228299839e-05,0.00011952413217633745,0.6156100654510819,0.002049879594984809,0.016051134629840168,0.36581904988795044
2,mlp,11246,3,3,1.2431725075924406e-06,1.2922395042944418e-06,1.1900079737043304e-06,0.9947941651448506,6.951916359078564e-05,0.0034677695906988105,0.001664820680874164
2,mlp,3103,0,0,0.9994571752494534,0.00034061714201706015,0.00015274121442825274,8.061445042261289e-08,9.737723347236113e-06,3.962481938960928e-05,2.3236914139880368e-08
2,mlp,12789,3,3,8.730981627794709e-05,3.105818118434463e-05,5.1805158926754796e-05,0.8810118982774539,0.0011276573410306443,0.07075712322755585,0.04693314799757079
2,mlp,5647,4,4,1.4023787830233215e-07,3.693737368754638e-07,1.6161242991715191e-06,3.355739115606244e-05,0.9998198392550791,1.1577270115761762e-05,0.0001329003477347309
2,mlp,4532,2,2,0.18670215989348724,0.0004365494601525035,0.811818008274944,4.46509055919488e-07,0.0008924035894616752,0.00013751685556724806,1.2915417331220179e-05
2,mlp,228,5,5,2.378192860748892e-06,6.39559635777266e-08,2.555284672713517e-07,0.0076220264857407615,1.4761056764972036e-05,0.9922078664618023,0.00015264831840026535
2,mlp,11230,3,3,1.8536444084445293e-06,3.823061068749067e-06,9.391478563263785e-07,0.9837298557654744,8.861291985773917e-05,5.011456850458106e-05,0.016124800892829593
2,mlp,12610,3,3,9.89179474466816e-06,2.455826606914967e-05,6.275397009796898e-06,0.9617023735112954,0.0023967079270858266,0.0003780989460008611,0.03548209415779416
2,mlp,1812,5,5,0.004395548031835057,0.00011667654957625264,0.002283935146816682,0.021603972544627495,0.002720627774984514,0.5354580884272238,0.43342115152493627
2,mlp,7267,4,4,0.0004206478608288267,2.2765200520021e-05,0.04671356715962856,1.0485494500245788e-06,0.9523445399764715,0.00020053569309865814,0.0002968955600023433
2,mlp,6490,4,4,3.2205195748993486e-05,6.234950393950456e-07,0.0006657937768003321,2.870462895398352e-06,0.9883863558653724,6.577087732456136e-05,0.010846380326818882
2,mlp,3497,1,1,1.882577149193808e-05,0.9998555411898278,0.00012559741926331468,6.991152411381535e-15,3.5619262306434736e-08,1.4792745401099091e-13,6.624682240610104e-19
2,mlp,10529,3,3,1.189383540381642e-07,4.832176439319047e-07,1.3354677530449313e-07,0.9994484880284719,1.0277598981556942e-05,5.628516275634349e-05,0.00048421350701725093
2,mlp,2832,0,0,0.9999125129915561,7.971176788756837e-06,7.27826909062884e-08,7.867450046187287e-08,2.7534489885745408e-06,7.660501703253358e-05,5.908442609707813e-09
2,mlp,875,5,5,1.0617851737495053e-05,5.084779204547576e-08,2.5925954784942005e-07,0.0006418535312344587,7.712015714106016e-06,0.9991636528037183,0.0001758536902557429
2,mlp,8611,6,6,0.0020651806019756466,5.526240253438632e-05,0.0009334769820961964,0.0055533312467006424,0.016155336457952845,0.0008777712473495436,0.9743596410613906
2,mlp,11553,3,3,2.4621864656096103e-06,5.5650833098788075e-06,1.8754564464052928e-06,0.9937621556559423,0.00010612770198395345,0.00018325118850320642,0.0059385627273488275
2,mlp,2303,0,0,0.9751598647820857,0.000949584341165745,0.016971725117522644,8.52104298721306e-05,0.0008556337693229034,0.005307543958592845,0.0006704376014378672
2,mlp,5825,4,4,7.253878953414458e-05,6.734372264813112e-07,0.0012356319243851538,4.610752959090359e-05,0.9871173617142405,0.0006612282755822769,0.010866458329440587
2,mlp,9570,6,6,0.0028955692021469873,1.686995950655323e-05,0.006218107749135659,0.000482657669701155,0.15023289246347815,0.0013502266888195452,0.8388036762672119
2,mlp,10163,3,3,4.97532340484936e-09,1.212754164337715e-07,8.929584507255755e-09,0.9999482017936003,8.014767724495103e-06,2.201515858633787e-06,4.1446742492367044e-05
2,mlp,4732,2,2,7.092919418056935e-05,6.481917421296333e-05,0.9997363324424876,5.53833039044162e-09,0.00012631955528793855,1.2995785772026085e-06,2.945169231489092e-07
2,mlp,12784,3,3,2.649194917246489e-05,4.586686053526642e-05,2.0024477325849016e-05,0.9383947942027594,0.0018932102768240697,0.0008220934888958952,0.05879751874448695
2,mlp,3970,2,2,0.07149022046928197,0.0002872804080670956,0.8639046831388525,2.8551627050311314e-05,0.01071999449761581,0.010062221596852897,0.04350704826227938
2,mlp,3821,1,1,2.773718602924419e-10,0.9999430786239732,5.6919118854310205e-05,1.5247135677284023e-19,1.979800540903131e-09,3.5613964052538005e-18,2.8835096213499823e-24
2,mlp,8999,6,6,0.0016844683963788587,5.665870021090531e-05,0.0009477254526148838,0.008453548210226515,0.0016011077256165495,0.01156222036360899,0.9756942711513432
2,mlp,5087,2,2,4.0299384024571394e-05,2.0464955154490568e-05,0.9996238653621993,1.3919734598129162e-09,0.00031436289486828364,9.109718782679791e-07,9.503990153819107e-08
2,mlp,8917,6,5,0.016276316540325464,6.846208332447808e-05,0.0007798104185937005,0.0057221528485039514,0.001698314963344532,0.7367242589384463,0.23873068420746155
2,mlp,12089,3,3,4.489632294663794e-06,1.7800380006519303e-05,3.457407273643408e-06,0.9113945373675967,0.0022849811413378864,3.499522182912767e-05,0.08625973884966158
2,mlp,2897,0,0,0.7585312264147466,0.0019034434613071714,0.23894136608938255,9.70962696329742e-07,0.00037001523646572755,0.00024290662007215503,1.0071215329384574e-05
2,mlp,8019,6,6,0.0019549038587055195,0.0001084798708348266,0.0002604639381886103,0.06264678515310333,0.0016468876559541012,0.002099212845368629,0.9312832666778449
2,mlp,4834,2,2,0.0001658277683274342,7.394155193707264e-05,0.9989975963343221,9.022809578896705e-09,0.0007585811097404803,2.717515417412179e-06,1.3266974456916345e-06
2,mlp,11272,3,3,8.393421171393619e-07,2.882851335258105e-06,7.032176622044035e-07,0.9950269674774171,9.59996895803572e-05,4.652714158769165e-05,0.0048260802803001155
2,mlp,8362,6,6,0.0007721060702278295,6.144708362096896e-05,0.00015480713756067295,0.0347049437596477,0.00689887899344913,0.0014511191888009717,0.9559566977666927
2,mlp,12012,3,3,1.5585186271784192e-05,6.718612959303736e-06,8.22662512078132e-06,0.9525412357969132,0.0002595036580551832,0.0064673447787015215,0.040701385341978286
2,mlp,8605,6,6,0.00022878354562934694,1.8900166243766185e-05,0.00014558622350701865,0.004031713315648611,0.0007154561866024953,0.00011155681344011777,0.9947480037489287
2,mlp,12760,3,3,1.55554064885534e-05,3.5324945591707924e-05,8.550250099054654e-06,0.9210174476631332,0.006297888374424368,0.0004131249405518559,0.07221210841971135
2,mlp,5011,2,2,0.0014628911300854743,0.000311696673940001,0.9981324572211098,2.112350702595955e-08,8.254386545458877e-05,8.234599300606922e-06,2.155386602465751e-06
2,mlp,12551,3,3,2.9226977861663043e-05,1.9418755410816503e-05,1.9830890959839965e-05,0.9485800003404954,0.0005642071835839273,0.004775206848124354,0.04601210900356415
