model_name,true_class_id,true_class_name,predicted_class_id,predicted_class_name,confusion_count
decision_tree,6,SIRA,3,DERMASON,61
decision_tree,3,DERMASON,6,SIRA,57
random_forest,6,SIRA,3,DERMASON,55
logistic_regression,3,DERMASON,6,SIRA,53
mlp,6,SIRA,3,DERMASON,45
mlp,3,DERMASON,6,SIRA,44
random_forest,3,DERMASON,6,SIRA,43
logistic_regression,6,SIRA,3,DERMASON,41
decision_tree,6,SIRA,5,SEKER,22
random_forest,0,BARBUNYA,2,CALI,18
logistic_regression,0,BARBUNYA,2,CALI,18
decision_tree,0,BARBUNYA,2,CALI,18
mlp,0,BARBUNYA,2,CALI,18
decision_tree,2,CALI,0,BARBUNYA,18
decision_tree,5,SEKER,3,DERMASON,13
logistic_regression,3,DERMASON,5,SEKER,13
decision_tree,4,HOROZ,2,CALI,12
random_forest,2,CALI,0,BARBUNYA,12
decision_tree,3,DERMASON,5,SEKER,11
logistic_regression,4,HOROZ,2,CALI,11
random_forest,3,DERMASON,5,SEKER,10
mlp,2,CALI,0,BARBUNYA,10
logistic_regression,6,SIRA,5,SEKER,10
mlp,3,DERMASON,5,SEKER,10
random_forest,6,SIRA,5,SEKER,9
random_forest,4,HOROZ,2,CALI,9
decision_tree,6,SIRA,4,HOROZ,9
random_forest,4,HOROZ,6,SIRA,9
mlp,6,SIRA,5,SEKER,9
logistic_regression,5,SEKER,0,BARBUNYA,9
logistic_regression,5,SEKER,6,SIRA,9
decision_tree,5,SEKER,6,SIRA,8
logistic_regression,6,SIRA,4,HOROZ,8
mlp,4,HOROZ,2,CALI,8
random_forest,5,SEKER,6,SIRA,8
logistic_regression,2,CALI,0,BARBUNYA,8
mlp,5,SEKER,6,SIRA,7
mlp,6,SIRA,4,HOROZ,7
logistic_regression,0,BARBUNYA,6,SIRA,7
random_forest,6,SIRA,4,HOROZ,7
decision_tree,4,HOROZ,6,SIRA,7
random_forest,0,BARBUNYA,6,SIRA,7
mlp,4,HOROZ,6,SIRA,7
random_forest,5,SEKER,3,DERMASON,6
decision_tree,2,CALI,4,HOROZ,6
mlp,4,HOROZ,3,DERMASON,5
mlp,5,SEKER,0,BARBUNYA,5
logistic_regression,2,CALI,4,HOROZ,5
logistic_regression,4,HOROZ,3,DERMASON,5
logistic_regression,5,SEKER,3,DERMASON,5
mlp,5,SEKER,3,DERMASON,5
mlp,0,BARBUNYA,6,SIRA,5
mlp,2,CALI,4,HOROZ,5
random_forest,2,CALI,4,HOROZ,5
decision_tree,0,BARBUNYA,6,SIRA,5
decision_tree,4,HOROZ,3,DERMASON,5
decision_tree,6,SIRA,0,BARBUNYA,5
decision_tree,4,HOROZ,0,BARBUNYA,5
decision_tree,5,SEKER,0,BARBUNYA,4
decision_tree,6,SIRA,2,CALI,4
logistic_regression,4,HOROZ,6,SIRA,4
logistic_regression,2,CALI,6,SIRA,4
logistic_regression,0,BARBUNYA,5,SEKER,4
mlp,0,BARBUNYA,5,SEKER,4
decision_tree,0,BARBUNYA,5,SEKER,4
random_forest,5,SEKER,0,BARBUNYA,4
random_forest,6,SIRA,0,BARBUNYA,4
random_forest,0,BARBUNYA,5,SEKER,3
random_forest,4,HOROZ,3,DERMASON,3
mlp,6,SIRA,0,BARBUNYA,3
random_forest,2,CALI,6,SIRA,3
decision_tree,2,CALI,6,SIRA,3
mlp,2,CALI,5,SEKER,2
decision_tree,3,DERMASON,4,HOROZ,2
random_forest,2,CALI,5,SEKER,2
logistic_regression,2,CALI,5,SEKER,2
mlp,2,CALI,6,SIRA,2
decision_tree,2,CALI,5,SEKER,2
logistic_regression,4,HOROZ,0,BARBUNYA,1
decision_tree,0,BARBUNYA,3,DERMASON,1
logistic_regression,6,SIRA,2,CALI,1
logistic_regression,6,SIRA,0,BARBUNYA,1
decision_tree,5,SEKER,2,CALI,1
random_forest,0,BARBUNYA,4,HOROZ,1
random_forest,4,HOROZ,0,BARBUNYA,1
mlp,4,HOROZ,0,BARBUNYA,1
mlp,6,SIRA,2,CALI,1
