seed,model_name,true_class_id,true_class_name,predicted_class_id,predicted_class_name,confusion_count
6,mlp,6,SIRA,3,DERMASON,70
10,decision_tree,6,SIRA,3,DERMASON,68
7,decision_tree,3,DERMASON,6,SIRA,66
3,decision_tree,3,DERMASON,6,SIRA,66
4,decision_tree,6,SIRA,3,DERMASON,64
2,decision_tree,6,SIRA,3,DERMASON,63
8,mlp,3,DERMASON,6,SIRA,63
6,decision_tree,6,SIRA,3,DERMASON,62
10,decision_tree,3,DERMASON,6,SIRA,62
3,decision_tree,6,SIRA,3,DERMASON,61
8,decision_tree,6,SIRA,3,DERMASON,61
5,decision_tree,3,DERMASON,6,SIRA,60
2,decision_tree,3,DERMASON,6,SIRA,60
8,decision_tree,3,DERMASON,6,SIRA,60
1,decision_tree,6,SIRA,3,DERMASON,60
6,decision_tree,3,DERMASON,6,SIRA,59
9,decision_tree,6,SIRA,3,DERMASON,59
5,decision_tree,6,SIRA,3,DERMASON,59
1,decision_tree,3,DERMASON,6,SIRA,59
7,decision_tree,6,SIRA,3,DERMASON,58
9,random_forest,6,SIRA,3,DERMASON,58
1,random_forest,6,SIRA,3,DERMASON,57
6,random_forest,6,SIRA,3,DERMASON,57
10,random_forest,6,SIRA,3,DERMASON,56
7,random_forest,6,SIRA,3,DERMASON,56
8,random_forest,6,SIRA,3,DERMASON,56
4,decision_tree,3,DERMASON,6,SIRA,56
5,random_forest,6,SIRA,3,DERMASON,55
2,random_forest,6,SIRA,3,DERMASON,55
4,random_forest,6,SIRA,3,DERMASON,55
9,decision_tree,3,DERMASON,6,SIRA,55
2,mlp,3,DERMASON,6,SIRA,55
3,random_forest,6,SIRA,3,DERMASON,54
1,logistic_regression,3,DERMASON,6,SIRA,53
8,logistic_regression,3,DERMASON,6,SIRA,53
7,logistic_regression,3,DERMASON,6,SIRA,53
5,logistic_regression,3,DERMASON,6,SIRA,53
9,mlp,3,DERMASON,6,SIRA,53
6,logistic_regression,3,DERMASON,6,SIRA,53
9,logistic_regression,3,DERMASON,6,SIRA,53
2,logistic_regression,3,DERMASON,6,SIRA,53
3,logistic_regression,3,DERMASON,6,SIRA,53
10,logistic_regression,3,DERMASON,6,SIRA,53
4,logistic_regression,3,DERMASON,6,SIRA,53
1,mlp,3,DERMASON,6,SIRA,51
10,mlp,6,SIRA,3,DERMASON,49
5,mlp,6,SIRA,3,DERMASON,48
7,random_forest,3,DERMASON,6,SIRA,46
6,random_forest,3,DERMASON,6,SIRA,46
3,mlp,3,DERMASON,6,SIRA,46
4,mlp,6,SIRA,3,DERMASON,45
4,random_forest,3,DERMASON,6,SIRA,45
10,random_forest,3,DERMASON,6,SIRA,44
7,mlp,3,DERMASON,6,SIRA,44
5,random_forest,3,DERMASON,6,SIRA,44
9,random_forest,3,DERMASON,6,SIRA,43
1,random_forest,3,DERMASON,6,SIRA,43
2,random_forest,3,DERMASON,6,SIRA,42
4,mlp,3,DERMASON,6,SIRA,42
5,mlp,3,DERMASON,6,SIRA,41
