model_name,true_class_id,true_class_name,predicted_class_id,predicted_class_name,total_confusion_count,mean_confusion_count,std_confusion_count,seeds_observed
decision_tree,6,SIRA,3,DERMASON,615,61.5,2.953340857778225,10
decision_tree,3,DERMASON,6,SIRA,603,60.3,3.6224607965059077,10
random_forest,6,SIRA,3,DERMASON,559,55.9,1.1972189997378622,10
logistic_regression,3,DERMASON,6,SIRA,530,53.0,0.0,10
mlp,3,DERMASON,6,SIRA,467,46.7,8.83238988672438,10
mlp,6,SIRA,3,DERMASON,437,43.7,10.478019320887363,10
random_forest,3,DERMASON,6,SIRA,435,43.5,1.8408935028645397,10
logistic_regression,6,SIRA,3,DERMASON,410,41.0,0.0,10
decision_tree,6,SIRA,5,SEKER,210,21.0,1.5634719199411433,10
logistic_regression,0,BARBUNYA,2,CALI,180,18.0,0.0,10
decision_tree,0,BARBUNYA,2,CALI,170,17.0,1.49071198499986,10
random_forest,0,BARBUNYA,2,CALI,168,16.8,1.0327955589886446,10
mlp,0,BARBUNYA,2,CALI,167,16.7,2.406010991015812,10
decision_tree,2,CALI,0,BARBUNYA,152,15.2,1.5491933384829657,10
logistic_regression,3,DERMASON,5,SEKER,130,13.0,0.0,10
decision_tree,5,SEKER,3,DERMASON,125,12.5,1.1785113019775795,10
decision_tree,3,DERMASON,5,SEKER,123,12.3,0.9486832980505147,10
random_forest,3,DERMASON,5,SEKER,121,12.1,1.3703203194062978,10
decision_tree,4,HOROZ,2,CALI,110,11.0,0.9428090415820632,10
logistic_regression,4,HOROZ,2,CALI,110,11.0,0.0,10
random_forest,6,SIRA,5,SEKER,108,10.8,0.9189365834726816,10
mlp,3,DERMASON,5,SEKER,108,10.8,1.8135294011647256,10
random_forest,2,CALI,0,BARBUNYA,107,10.7,1.0593499054713804,10
logistic_regression,6,SIRA,5,SEKER,100,10.0,0.0,10
mlp,2,CALI,0,BARBUNYA,93,9.3,2.4517567397911053,10
decision_tree,6,SIRA,4,HOROZ,93,9.3,1.4944341180973264,10
random_forest,4,HOROZ,2,CALI,91,9.1,0.7378647873726216,10
