seed,model_name,display_name,input_type,explainer_type,feature,mean_abs_shap,rank
3,decision_tree,Decision Tree,unscaled,tree,MajorAxisLength,0.08192365641005667,1
3,decision_tree,Decision Tree,unscaled,tree,Perimeter,0.07735424727008669,2
3,decision_tree,Decision Tree,unscaled,tree,ShapeFactor1,0.04821693743547881,3
3,decision_tree,Decision Tree,unscaled,tree,ShapeFactor3,0.0364794609993331,4
3,decision_tree,Decision Tree,unscaled,tree,roundness,0.0278446716994805,5
3,decision_tree,Decision Tree,unscaled,tree,Compactness,0.026700858792091702,6
3,decision_tree,Decision Tree,unscaled,tree,ShapeFactor4,0.02366838385374738,7
3,decision_tree,Decision Tree,unscaled,tree,MinorAxisLength,0.023567170551451546,8
3,decision_tree,Decision Tree,unscaled,tree,Solidity,0.012340260370327935,9
3,decision_tree,Decision Tree,unscaled,tree,ConvexArea,0.00997767530972388,10
3,decision_tree,Decision Tree,unscaled,tree,Extent,0.009313457326193146,11
3,decision_tree,Decision Tree,unscaled,tree,Area,0.0074007339675413765,12
3,decision_tree,Decision Tree,unscaled,tree,ShapeFactor2,0.006083092452619451,13
3,decision_tree,Decision Tree,unscaled,tree,EquivDiameter,0.005816985149934181,14
3,decision_tree,Decision Tree,unscaled,tree,Eccentricity,0.0031600534592541606,15
3,decision_tree,Decision Tree,unscaled,tree,AspectRation,0.00176044239515121,16
