model_name,display_name,feature,mean_abs_shap,rank
mlp,MLP,ShapeFactor1,0.04529014026959775,1
mlp,MLP,AspectRation,0.03122803187206813,2
mlp,MLP,roundness,0.030464695693807244,3
mlp,MLP,ShapeFactor4,0.027676351536149682,4
mlp,MLP,MajorAxisLength,0.0223284719897603,5
mlp,MLP,ConvexArea,0.022316569387283453,6
mlp,MLP,ShapeFactor2,0.020761101096640592,7
mlp,MLP,MinorAxisLength,0.01794902297503538,8
mlp,MLP,Area,0.017712186085066545,9
mlp,MLP,Perimeter,0.016921837634364622,10
mlp,MLP,Compactness,0.016133173247074348,11
mlp,MLP,ShapeFactor3,0.014942845159908983,12
mlp,MLP,EquivDiameter,0.0130663395805239,13
mlp,MLP,Eccentricity,0.012638899686103579,14
mlp,MLP,Solidity,0.010424895902540797,15
mlp,MLP,Extent,0.007627608247823925,16
