model_name,display_name,seed_a,seed_b,spearman_rank_correlation,top_k,top_k_overlap_count,top_k_overlap_rate,top_k_jaccard
decision_tree,Decision Tree,1,2,0.9058823529411765,10,10,1.0,1.0
decision_tree,Decision Tree,1,3,0.9264705882352942,10,10,1.0,1.0
decision_tree,Decision Tree,1,4,0.9794117647058824,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,1,5,0.911764705882353,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,1,6,0.976470588235294,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,1,7,0.9147058823529413,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,1,8,0.9588235294117649,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,1,9,0.8823529411764707,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,1,10,0.961764705882353,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,2,3,0.9441176470588234,10,10,1.0,1.0
decision_tree,Decision Tree,2,4,0.8676470588235294,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,2,5,0.961764705882353,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,2,6,0.8382352941176471,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,2,7,0.9823529411764707,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,2,8,0.9235294117647058,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,2,9,0.9823529411764707,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,2,10,0.823529411764706,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,3,4,0.9352941176470588,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,3,5,0.9647058823529412,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,3,6,0.8617647058823529,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,3,7,0.9441176470588234,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,3,8,0.8970588235294116,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,3,9,0.9029411764705882,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,3,10,0.8647058823529412,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,4,5,0.9088235294117648,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,4,6,0.95,10,8,0.8,0.6666666666666666
decision_tree,Decision Tree,4,7,0.888235294117647,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,4,8,0.9382352941176471,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,4,9,0.8411764705882352,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,4,10,0.9529411764705882,10,8,0.8,0.6666666666666666
decision_tree,Decision Tree,5,6,0.8558823529411764,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,5,7,0.961764705882353,10,10,1.0,1.0
decision_tree,Decision Tree,5,8,0.9352941176470588,10,10,1.0,1.0
decision_tree,Decision Tree,5,9,0.9470588235294116,10,10,1.0,1.0
decision_tree,Decision Tree,5,10,0.8323529411764706,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,6,7,0.85,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,6,8,0.9323529411764706,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,6,9,0.8264705882352942,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,6,10,0.9794117647058824,10,10,1.0,1.0
decision_tree,Decision Tree,7,8,0.9264705882352942,10,10,1.0,1.0
decision_tree,Decision Tree,7,9,0.9823529411764707,10,10,1.0,1.0
decision_tree,Decision Tree,7,10,0.8323529411764706,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,8,9,0.9235294117647058,10,10,1.0,1.0
decision_tree,Decision Tree,8,10,0.9029411764705882,10,9,0.9,0.8181818181818182
decision_tree,Decision Tree,9,10,0.7970588235294117,10,9,0.9,0.8181818181818182
logistic_regression,Logistic Regression,1,2,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,3,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,4,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,5,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,6,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,7,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,1,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,3,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,4,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,5,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,6,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,7,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,2,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,3,4,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,3,5,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,3,6,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,3,7,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,3,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,3,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,3,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,5,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,6,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,7,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,8,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,9,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,4,10,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,5,6,1.0,10,10,1.0,1.0
logistic_regression,Logistic Regression,5,7,1.0,10,10,1.0,1.0
