model_name,display_name,feature,top_k,top_k_count,top_k_frequency,rank_mean,rank_std,mean_abs_shap_mean,mean_abs_shap_std
decision_tree,Decision Tree,MajorAxisLength,10,10,1.0,1.0,0.0,0.08324604282595396,0.001695097504654781
decision_tree,Decision Tree,Perimeter,10,10,1.0,2.0,0.0,0.0765785990965758,0.0012109430466379625
decision_tree,Decision Tree,ShapeFactor1,10,10,1.0,4.4,0.8432740427115678,0.038291023178691846,0.005486451082849527
decision_tree,Decision Tree,MinorAxisLength,10,10,1.0,4.8,1.5491933384829668,0.03520251475637977,0.005896003485932421
decision_tree,Decision Tree,Compactness,10,10,1.0,5.1,2.1317702607092643,0.034947595066763024,0.01473592145359267
decision_tree,Decision Tree,roundness,10,10,1.0,5.8,0.4216370213557839,0.028428422578141054,0.0007547418374455793
decision_tree,Decision Tree,ShapeFactor4,10,10,1.0,7.3,0.48304589153964794,0.023091608988549464,0.001084127751291319
decision_tree,Decision Tree,Solidity,10,10,1.0,8.9,0.5676462121975466,0.01216915602039837,0.0005891033591606424
decision_tree,Decision Tree,ShapeFactor3,10,8,0.8,6.2,3.2249030993194197,0.026904130459314807,0.014102962983370255
decision_tree,Decision Tree,Extent,10,6,0.6,10.1,0.8755950357709131,0.00978651219073362,0.0007270511781918834
decision_tree,Decision Tree,ConvexArea,10,5,0.5,10.9,0.9944289260117533,0.009135309349528529,0.0006580562223150828
decision_tree,Decision Tree,Area,10,1,0.1,13.2,1.9321835661585918,0.006215524127882751,0.002495896010253769
decision_tree,Decision Tree,EquivDiameter,10,0,0.0,12.7,1.636391694484477,0.007231112851912995,0.0025710964947932937
decision_tree,Decision Tree,ShapeFactor2,10,0,0.0,13.6,0.8432740427115678,0.005517686673559185,0.0013188613218025865
decision_tree,Decision Tree,AspectRation,10,0,0.0,14.9,1.1005049346146119,0.0036009009680259387,0.0016362744199939936
decision_tree,Decision Tree,Eccentricity,10,0,0.0,15.1,0.8755950357709131,0.0031860731654663604,0.0017557002535006207
logistic_regression,Logistic Regression,ShapeFactor1,10,10,1.0,1.0,0.0,1.4633874684320964,2.340555645717801e-16
logistic_regression,Logistic Regression,MinorAxisLength,10,10,1.0,2.0,0.0,1.094949457332654,2.340555645717801e-16
logistic_regression,Logistic Regression,EquivDiameter,10,10,1.0,3.0,0.0,0.8929123307892353,0.0
logistic_regression,Logistic Regression,Perimeter,10,10,1.0,4.0,0.0,0.8855546171005152,1.1702778228589004e-16
logistic_regression,Logistic Regression,ConvexArea,10,10,1.0,5.0,0.0,0.7968408635671044,0.0
logistic_regression,Logistic Regression,Area,10,10,1.0,6.0,0.0,0.778416899975541,0.0
logistic_regression,Logistic Regression,MajorAxisLength,10,10,1.0,7.0,0.0,0.7749775645746454,0.0
logistic_regression,Logistic Regression,ShapeFactor4,10,10,1.0,8.0,0.0,0.7337406165724178,1.1702778228589004e-16
logistic_regression,Logistic Regression,ShapeFactor2,10,10,1.0,9.0,0.0,0.6102784055116628,0.0
