model_name,display_name,feature,mean_abs_lime_weight,mean_lime_weight,explanation_count,rank
decision_tree,Decision Tree,Perimeter,0.11306558503209015,0.11262248418202365,40,1
decision_tree,Decision Tree,MajorAxisLength,0.06617775147386486,0.05546503332069991,40,2
decision_tree,Decision Tree,MinorAxisLength,0.0436088243946488,0.03970871943865817,40,3
decision_tree,Decision Tree,ShapeFactor1,0.03793536645021241,0.034306861578027245,40,4
decision_tree,Decision Tree,roundness,0.031857307298677875,0.005020342407025151,40,5
decision_tree,Decision Tree,ShapeFactor2,0.029768836823327406,-0.001739839389662784,40,6
decision_tree,Decision Tree,Compactness,0.025471027289988075,0.006249232019480045,40,7
decision_tree,Decision Tree,Extent,0.02402755252726089,-0.0035082616995312844,40,8
decision_tree,Decision Tree,ShapeFactor3,0.02332974643572671,0.013998782741476548,40,9
decision_tree,Decision Tree,AspectRation,0.021505338771802215,0.01645645263931659,40,10
decision_tree,Decision Tree,Area,0.02037218718149837,0.01151798527457588,40,11
decision_tree,Decision Tree,ShapeFactor4,0.01960749045202438,0.0011623669589145636,40,12
decision_tree,Decision Tree,Eccentricity,0.01822040974646755,0.003164709232836867,40,13
decision_tree,Decision Tree,ConvexArea,0.017577786861313085,0.014689638788443957,40,14
decision_tree,Decision Tree,EquivDiameter,0.013609974008130798,0.0068552934081091465,40,15
decision_tree,Decision Tree,Solidity,0.009462893313356277,0.002491898444122062,40,16
logistic_regression,Logistic Regression,ShapeFactor1,0.10710824340361305,0.07916464811165567,40,1
logistic_regression,Logistic Regression,Perimeter,0.05290284414117423,0.041953228863696165,40,2
logistic_regression,Logistic Regression,EquivDiameter,0.04929885265783489,0.04787800802199862,40,3
logistic_regression,Logistic Regression,MinorAxisLength,0.047433482040382814,0.047433482040382814,40,4
logistic_regression,Logistic Regression,MajorAxisLength,0.04506695400687031,0.04268741312309436,40,5
logistic_regression,Logistic Regression,Area,0.038226662852291336,0.03805565632102383,40,6
logistic_regression,Logistic Regression,ShapeFactor4,0.03776205534572442,0.007027827921411682,40,7
logistic_regression,Logistic Regression,ConvexArea,0.03490438794378663,0.03490438794378663,40,8
logistic_regression,Logistic Regression,roundness,0.029842171757053115,0.01206173751582881,40,9
logistic_regression,Logistic Regression,AspectRation,0.025249917220524463,0.017903550480485114,40,10
logistic_regression,Logistic Regression,ShapeFactor2,0.024582924200370743,0.021668460389135027,40,11
logistic_regression,Logistic Regression,Eccentricity,0.02410634195075142,0.00326448110035111,40,12
logistic_regression,Logistic Regression,Solidity,0.01811700811169733,-0.0002942475247054416,40,13
logistic_regression,Logistic Regression,Compactness,0.01152162576575487,0.00447621726838055,40,14
logistic_regression,Logistic Regression,ShapeFactor3,0.011446590601237257,0.0011025552511079897,40,15
logistic_regression,Logistic Regression,Extent,0.01017709971786589,0.001177249882915925,40,16
mlp,MLP,ShapeFactor1,0.10737882585532929,0.0783415385404844,40,1
mlp,MLP,MinorAxisLength,0.057995650449635075,0.05782376089610323,40,2
mlp,MLP,Area,0.05607106633804585,0.05604057761418524,40,3
mlp,MLP,MajorAxisLength,0.04704536802878097,0.04022608762809808,40,4
mlp,MLP,ConvexArea,0.04496122361860781,0.04447465441355543,40,5
mlp,MLP,ShapeFactor4,0.044836289961675754,0.010370701638838468,40,6
mlp,MLP,Perimeter,0.04333481005140814,0.037733840662381994,40,7
mlp,MLP,roundness,0.04143229089197698,0.036697232386939053,40,8
mlp,MLP,ShapeFactor2,0.0344960354277751,0.016207276332830582,40,9
mlp,MLP,EquivDiameter,0.03367382569520809,0.03225012436398528,40,10
mlp,MLP,AspectRation,0.030227302870511712,0.003617557463623488,40,11
mlp,MLP,Solidity,0.02918356316285261,-0.003766676564899947,40,12
mlp,MLP,Compactness,0.020864439965464682,0.004886246965349637,40,13
mlp,MLP,Eccentricity,0.020023038863257583,0.0050591450536837885,40,14
mlp,MLP,Extent,0.014914375866124468,0.0023527954321644782,40,15
mlp,MLP,ShapeFactor3,0.010393267621768527,0.005488420799390704,40,16
random_forest,Random Forest,Perimeter,0.04716513721271646,0.04716513721271646,40,1
random_forest,Random Forest,ConvexArea,0.03889841714338567,0.03889841714338567,40,2
random_forest,Random Forest,EquivDiameter,0.031140614640492437,0.031140614640492437,40,3
random_forest,Random Forest,MajorAxisLength,0.029170493060361576,0.025139737035421494,40,4
random_forest,Random Forest,MinorAxisLength,0.027949186409339834,0.027949186409339834,40,5
random_forest,Random Forest,ShapeFactor1,0.027544978062664656,0.027408925620205533,40,6
random_forest,Random Forest,Area,0.024500116593824218,0.024500116593824218,40,7
random_forest,Random Forest,roundness,0.019127855218003507,0.015098977536642105,40,8
random_forest,Random Forest,Compactness,0.015282629638906397,0.01103069128853621,40,9
random_forest,Random Forest,ShapeFactor3,0.013525680350848982,0.009250114577725638,40,10
random_forest,Random Forest,ShapeFactor4,0.011303215734193425,0.0033147551772947452,40,11
random_forest,Random Forest,ShapeFactor2,0.01025953856107939,0.009169344942472549,40,12
random_forest,Random Forest,Eccentricity,0.008476297189461007,0.005954190299805029,40,13
random_forest,Random Forest,AspectRation,0.007523371522752934,0.0057571171961680444,40,14
random_forest,Random Forest,Solidity,0.0043365523995183815,0.0012615264813708809,40,15
random_forest,Random Forest,Extent,0.0030473899810126628,0.0014177737082012678,40,16
