model_name,display_name,input_type,sample_id,row_index,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature_index,feature,lime_weight,abs_lime_weight,original_feature_value,model_input_feature_value,lime_rule
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,2,MajorAxisLength,0.08472091616819849,0.08472091616819849,359.95047767229994,359.95047767229994,296.52 < MajorAxisLength <= 375.90
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,12,ShapeFactor1,0.0434306799885387,0.0434306799885387,0.005314961869829,0.005314961869829,ShapeFactor1 <= 0.01
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,3,MinorAxisLength,0.03313812008992412,0.03313812008992412,240.5130294492974,240.5130294492974,MinorAxisLength > 217.07
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,15,ShapeFactor4,-0.027970987231607784,0.027970987231607784,0.9960275630551412,0.9960275630551412,0.99 < ShapeFactor4 <= 1.00
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,11,Compactness,-0.023725162635252154,0.023725162635252154,0.8157998208436024,0.8157998208436024,0.80 < Compactness <= 0.83
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,6,10,roundness,0.022539140076232405,0.022539140076232405,0.9045325908282456,0.9045325908282456,0.88 < roundness <= 0.92
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,7,7,EquivDiameter,0.021432897860528047,0.021432897860528047,293.6475351976314,293.6475351976314,EquivDiameter > 279.66
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,8,13,ShapeFactor2,-0.011001502236963046,0.011001502236963046,0.0014521595602311,0.0014521595602311,0.00 < ShapeFactor2 <= 0.00
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,9,6,ConvexArea,-0.008644227708143382,0.008644227708143382,68288.0,68288.0,ConvexArea > 62397.00
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,10,14,ShapeFactor3,0.007692601791361185,0.007692601791361185,0.6655293476884537,0.6655293476884537,0.64 < ShapeFactor3 <= 0.70
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,11,5,Eccentricity,-0.005647965958924201,0.005647965958924201,0.7439963639732731,0.7439963639732731,0.72 < Eccentricity <= 0.76
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,12,1,Perimeter,0.0035737488547314907,0.0035737488547314907,969.983,969.983,793.88 < Perimeter <= 976.00
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,13,9,Solidity,0.0024915426539565146,0.0024915426539565146,0.9917408622305528,0.9917408622305528,Solidity > 0.99
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,14,4,AspectRation,-0.002415557652657313,0.002415557652657313,1.4965945025784193,1.4965945025784193,1.43 < AspectRation <= 1.55
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,15,0,Area,-0.0016643179817318718,0.0016643179817318718,67724.0,67724.0,Area > 61427.25
decision_tree,Decision Tree,unscaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,16,8,Extent,-7.341104334221769e-05,7.341104334221769e-05,0.7993107355301671,0.7993107355301671,Extent > 0.79
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,1,Perimeter,0.1132899135971125,0.1132899135971125,993.761,993.761,Perimeter > 976.00
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,11,Compactness,0.10862386962954756,0.10862386962954756,0.7604314292848606,0.7604314292848606,Compactness <= 0.76
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,2,MajorAxisLength,0.09233208777856274,0.09233208777856274,386.98786978852297,386.98786978852297,MajorAxisLength > 375.90
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,3,MinorAxisLength,0.05068374548292373,0.05068374548292373,224.32314119220808,224.32314119220808,MinorAxisLength > 217.07
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,12,ShapeFactor1,0.04864384785782417,0.04864384785782417,0.0056897429947588,0.0056897429947588,ShapeFactor1 <= 0.01
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,6,10,roundness,0.031707754894229764,0.031707754894229764,0.8654673100101826,0.8654673100101826,0.83 < roundness <= 0.88
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,7,9,Solidity,0.022182541040755573,0.022182541040755573,0.9911111111111112,0.9911111111111112,Solidity > 0.99
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,8,14,ShapeFactor3,0.01878492971536355,0.01878492971536355,0.578255958644216,0.578255958644216,ShapeFactor3 <= 0.58
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,9,7,EquivDiameter,0.012651308463746803,0.012651308463746803,294.27773893919004,294.27773893919004,EquivDiameter > 279.66
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,10,0,Area,-0.009211778727753358,0.009211778727753358,68015.0,68015.0,Area > 61427.25
decision_tree,Decision Tree,unscaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,11,8,Extent,0.008765246039713992,0.008765246039713992,0.7775097738860056,0.7775097738860056,0.76 < Extent <= 0.79
