model_name,display_name,input_type,sample_id,row_index,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature_index,feature,lime_weight,abs_lime_weight,original_feature_value,model_input_feature_value,lime_rule
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,0,Area,0.09116314129103781,0.09116314129103781,67724.0,0.5009955793845304,Area > 0.29
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,3,MinorAxisLength,0.08145655048590364,0.08145655048590364,240.5130294492974,0.8477767819176024,MinorAxisLength > 0.33
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,12,ShapeFactor1,0.0771023987386287,0.0771023987386287,0.005314961869829,-1.1050931589179638,ShapeFactor1 <= -0.59
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,7,EquivDiameter,0.06972395707604487,0.06972395707604487,293.6475351976314,0.6863912857027362,EquivDiameter > 0.45
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,10,roundness,0.028071021774900316,0.028071021774900316,0.9045325908282456,0.5183217787978041,0.16 < roundness <= 0.73
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,6,13,ShapeFactor2,0.015875551702673983,0.015875551702673983,0.0014521595602311,-0.4494768743905221,-0.94 < ShapeFactor2 <= -0.04
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,7,1,Perimeter,0.013170724646840878,0.013170724646840878,969.983,0.5378133410169472,-0.28 < Perimeter <= 0.57
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,8,8,Extent,0.009857816925408103,0.009857816925408103,0.7993107355301671,1.0149346111487407,Extent > 0.76
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,9,5,Eccentricity,0.007616744155530323,0.007616744155530323,0.7439963639732731,-0.0679010221515565,-0.37 < Eccentricity <= 0.15
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,10,4,AspectRation,-0.007128446507397456,0.007128446507397456,1.4965945025784193,-0.3436452839002152,-0.61 < AspectRation <= -0.13
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,11,6,ConvexArea,-0.006286702098813781,0.006286702098813781,68288.0,0.4882906585198527,ConvexArea > 0.29
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,12,11,Compactness,0.005996101577528477,0.005996101577528477,0.8157998208436024,0.2505310725012543,0.02 < Compactness <= 0.55
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,13,15,ShapeFactor4,0.005801120393642362,0.005801120393642362,0.9960275630551412,0.2202104635252211,-0.31 < ShapeFactor4 <= 0.30
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,14,2,MajorAxisLength,0.005238336056169002,0.005238336056169002,359.95047767229994,0.4685623439233415,-0.27 < MajorAxisLength <= 0.65
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,15,9,Solidity,0.0018416046313673733,0.0018416046313673733,0.9917408622305528,0.9836686908010036,Solidity > 0.61
mlp,MLP,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,16,14,ShapeFactor3,-0.0011351063519775488,0.0011351063519775488,0.6655293476884537,0.2139730463433332,-0.02 < ShapeFactor3 <= 0.52
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,3,MinorAxisLength,0.10569824026194104,0.10569824026194104,224.32314119220808,0.4883708909454604,MinorAxisLength > 0.33
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,0,Area,0.09435268105872112,0.09435268105872112,68015.0,0.5109088771773224,Area > 0.29
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,12,ShapeFactor1,0.09142734223279549,0.09142734223279549,0.0056897429947588,-0.7730868874382189,ShapeFactor1 <= -0.59
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,7,EquivDiameter,0.06419661016784332,0.06419661016784332,294.27773893919004,0.69702382437514,EquivDiameter > 0.45
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,2,MajorAxisLength,0.06045484078696439,0.06045484078696439,386.98786978852297,0.7839859399786914,MajorAxisLength > 0.65
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,6,1,Perimeter,0.05350746886033379,0.05350746886033379,993.761,0.6486799195976463,Perimeter > 0.57
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,7,4,AspectRation,0.04075207797095327,0.04075207797095327,1.7251357471717017,0.5884651781396328,AspectRation > 0.50
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,8,15,ShapeFactor4,-0.0348344712596676,0.0348344712596676,0.997570025272178,0.573635466516168,0.30 < ShapeFactor4 <= 0.64
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,9,14,ShapeFactor3,0.026794807193068367,0.026794807193068367,0.578255958644216,-0.6707139995413283,ShapeFactor3 <= -0.63
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,10,11,Compactness,0.026227807678416634,0.026227807678416634,0.7604314292848606,-0.6503624818361325,Compactness <= -0.60
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,11,13,ShapeFactor2,0.0232543330587707,0.0232543330587707,0.0011735798544305,-0.9168432112039804,-0.94 < ShapeFactor2 <= -0.04
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,12,9,Solidity,0.016306569777829204,0.016306569777829204,0.9911111111111112,0.8486606381606353,Solidity > 0.61
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,13,8,Extent,0.014571372803505572,0.014571372803505572,0.7775097738860056,0.5674930341045459,0.20 < Extent <= 0.76
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,14,10,roundness,-0.011395891680349232,0.011395891680349232,0.8654673100101826,-0.1419657532120657,-0.69 < roundness <= 0.16
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,15,6,ConvexArea,0.0037746535587165984,0.0037746535587165984,68625.0,0.499598747216995,ConvexArea > 0.29
mlp,MLP,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,16,5,Eccentricity,-0.002566505533718015,0.002566505533718015,0.8148552227551156,0.7032443731176219,Eccentricity > 0.64
mlp,MLP,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,3,MinorAxisLength,0.1037329185401495,0.1037329185401495,230.3304483927484,0.6217295381744266,MinorAxisLength > 0.33
mlp,MLP,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,0,Area,0.10354528793110375,0.10354528793110375,68024.0,0.5112154740162748,Area > 0.29
mlp,MLP,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,12,ShapeFactor1,0.0883811241483316,0.0883811241483316,0.0055946377856745,-0.857337464017534,ShapeFactor1 <= -0.59
mlp,MLP,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,15,ShapeFactor4,0.07950501197892468,0.07950501197892468,0.9880679024330704,-1.603589852677381,ShapeFactor4 <= -0.31
