method,model_pair,mean_top_k_overlap,mean_jaccard_similarity,mean_rank_correlation,mean_signed_cosine_similarity,mean_abs_cosine_similarity,n_comparisons
LIME,Decision Tree vs MLP,0.395,0.2621031746031746,-0.5067871137483206,0.1946905698343129,0.2976272649942051,40
LIME,Decision Tree vs Random Forest,0.45999999999999996,0.31746031746031744,-0.07642045454545454,0.466117111137235,0.5491829916908504,40
LIME,Logistic Regression vs Decision Tree,0.41000000000000003,0.28015873015873016,-0.4092316950291088,0.28335057374682115,0.3479559623313373,40
LIME,Logistic Regression vs MLP,0.685,0.5445436507936507,0.23600649350649353,0.7202236745270044,0.7629473951870397,40
LIME,Logistic Regression vs Random Forest,0.475,0.341468253968254,-0.2766166592028661,0.4137435135232512,0.42069053474281226,40
LIME,Random Forest vs MLP,0.43,0.2933531746031746,-0.4500744514106583,0.3393509591241152,0.37697511339177264,40
SHAP,Decision Tree vs MLP,0.45,0.30257936507936506,-0.4093019480519481,0.3131332653337148,0.34785726113982657,40
SHAP,Decision Tree vs Random Forest,0.51,0.3632936507936508,-0.19134880206000898,0.5109048621375601,0.5263895240267182,40
SHAP,Logistic Regression vs Decision Tree,0.48500000000000004,0.34791666666666665,-0.26116211374832066,0.41529046538830344,0.44939624498048314,40
SHAP,Logistic Regression vs MLP,0.41,0.2754960317460317,-0.3113488020600089,0.4173855829426616,0.4276244894532516,40
SHAP,Logistic Regression vs Random Forest,0.48500000000000004,0.3621031746031746,-0.3424582960143305,0.459347482549624,0.47423789597596844,40
SHAP,Random Forest vs MLP,0.335,0.21121031746031743,-0.4548079937304076,0.3355786923746109,0.34277544800792226,40
