method,model_name,display_name,input_type,sample_id,row_index,selection_group,selected_from_model,true_label,true_class_name,explained_predicted_label,explained_predicted_class_name,feature_rank,feature,explanation_value,abs_explanation_value
SHAP,logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,ShapeFactor1,2.8645229900141294,2.8645229900141294
SHAP,logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,roundness,0.864478326648348,0.864478326648348
SHAP,logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,MinorAxisLength,0.7209074477616214,0.7209074477616214
SHAP,logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,EquivDiameter,0.7117838344294948,0.7117838344294948
SHAP,logistic_regression,Logistic Regression,scaled,2573,192,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,ShapeFactor2,0.6380804421805377,0.6380804421805377
SHAP,logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,1,ShapeFactor1,1.908388193029912,1.908388193029912
SHAP,logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,2,ShapeFactor2,1.424755427386879,1.424755427386879
SHAP,logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,3,ShapeFactor4,-0.8435878648275524,0.8435878648275524
SHAP,logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,4,Eccentricity,0.8079303211890763,0.8079303211890763
SHAP,logistic_regression,Logistic Regression,scaled,2590,960,barbunya_predicted_as_cali,decision_tree,0,BARBUNYA,2,CALI,5,MajorAxisLength,0.7917753679788703,0.7917753679788703
SHAP,logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,ShapeFactor1,2.1510188745963634,2.1510188745963634
SHAP,logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,ShapeFactor4,1.8081507758842967,1.8081507758842967
SHAP,logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,ShapeFactor2,1.2537785715823258,1.2537785715823258
SHAP,logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,roundness,-1.0460459732044685,1.0460459732044685
SHAP,logistic_regression,Logistic Regression,scaled,2591,66,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,EquivDiameter,0.7252004398523068,0.7252004398523068
SHAP,logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,1,ShapeFactor1,3.0430832202947555,3.0430832202947555
SHAP,logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,2,ShapeFactor2,0.9057973226799912,0.9057973226799912
SHAP,logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,3,EquivDiameter,0.8766304781623647,0.8766304781623647
SHAP,logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,4,MinorAxisLength,0.8028157271419922,0.8028157271419922
SHAP,logistic_regression,Logistic Regression,scaled,2790,126,barbunya_predicted_as_cali,logistic_regression,0,BARBUNYA,2,CALI,5,MajorAxisLength,0.621983811251497,0.621983811251497
SHAP,logistic_regression,Logistic Regression,scaled,2883,553,barbunya_predicted_as_cali,mlp,0,BARBUNYA,2,CALI,1,ShapeFactor1,3.280521295073924,3.280521295073924
