comparison_type,method,model_name,display_name,selection_group,sample_id_a,sample_id_b,row_index_a,row_index_b,true_class_name_a,true_class_name_b,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2573,2590,192,960,BARBUNYA,BARBUNYA,0.4,0.25,-0.1,0.7146527571973068,0.7146527571973068
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2573,2591,192,66,BARBUNYA,BARBUNYA,0.8,0.6666666666666666,0.028571428571428574,0.61254191124806,0.7810692208404375
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2573,2790,192,126,BARBUNYA,BARBUNYA,0.8,0.6666666666666666,0.2,0.9450224535440401,0.9450224535440401
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2573,2883,192,553,BARBUNYA,BARBUNYA,0.8,0.6666666666666666,0.3714285714285715,0.9471150076423972,0.9471150076423972
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2573,3330,192,895,BARBUNYA,BARBUNYA,0.8,0.6666666666666666,0.08571428571428573,0.904523013054955,0.904523013054955
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2590,2591,960,66,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.6545454545454545,0.47363375012929393,0.8045793245650765
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2590,2790,960,126,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.32727272727272727,0.7954985001303907,0.7954985001303907
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2590,2883,960,553,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.0,0.7839128562546095,0.7839128562546095
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2590,3330,960,895,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.2181818181818182,0.8007275060002385,0.8007275060002385
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2591,2790,66,126,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.2727272727272727,0.7246342033502986,0.7246342033502986
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2591,2883,66,553,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.07272727272727272,0.7184573260806764,0.7184573260806764
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2591,3330,66,895,BARBUNYA,BARBUNYA,0.6,0.42857142857142855,0.2,0.7100597769127375,0.7100597769127375
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2790,2883,126,553,BARBUNYA,BARBUNYA,1.0,1.0,0.7,0.9995702841300196,0.9995702841300196
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2790,3330,126,895,BARBUNYA,BARBUNYA,1.0,1.0,0.7999999999999999,0.9862708002966951,0.9862708002966951
within_selection_group,SHAP,logistic_regression,Logistic Regression,barbunya_predicted_as_cali,2883,3330,553,895,BARBUNYA,BARBUNYA,1.0,1.0,0.7,0.9837142708545284,0.9837142708545284
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_bombay,3450,3869,1567,806,BOMBAY,BOMBAY,1.0,1.0,0.8999999999999998,0.9944989174507103,0.9944989174507103
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,10554,11193,1099,2097,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9965666737259565,0.9965666737259565
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,10554,11538,1099,2056,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9997193089853083,0.9997193089853083
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,10554,11678,1099,1622,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9980190981518685,0.9980190981518685
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,10554,12185,1099,322,DERMASON,DERMASON,1.0,1.0,0.3,0.9703215735812206,0.9703215735812206
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,10554,12237,1099,1552,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9975300994497533,0.9975300994497533
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,10554,12383,1099,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.6,0.8584261114771525,0.8584261114771525
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,10554,12838,1099,2412,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9981565497911193,0.9981565497911193
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,11538,2097,2056,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.996920852126431,0.996920852126431
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,11678,2097,1622,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9997198901048258,0.9997198901048258
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,12185,2097,322,DERMASON,DERMASON,1.0,1.0,0.6,0.9869839921323635,0.9869839921323635
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,12237,2097,1552,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.989737782206853,0.989737782206853
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,12383,2097,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.8283140657143052,0.8283140657143052
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11193,12838,2097,2412,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9956488019655464,0.9956488019655464
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,11678,2056,1622,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9984096258556168,0.9984096258556168
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12185,2056,322,DERMASON,DERMASON,1.0,1.0,0.3,0.9718546447735628,0.9718546447735628
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12237,2056,1552,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9978855748164875,0.9978855748164875
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12383,2056,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.6,0.8522435611324545,0.8522435611324545
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11538,12838,2056,2412,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9992973674226275,0.9992973674226275
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12185,1622,322,DERMASON,DERMASON,1.0,1.0,0.6,0.9834216960676595,0.9834216960676595
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12237,1622,1552,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9926932863497839,0.9926932863497839
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12383,1622,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.8357421213962034,0.8357421213962034
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,11678,12838,1622,2412,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.997390372570018,0.997390372570018
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12185,12237,322,1552,DERMASON,DERMASON,1.0,1.0,0.3,0.9550941917614357,0.9550941917614357
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12185,12383,322,386,DERMASON,DERMASON,0.8,0.6666666666666666,-0.14285714285714288,0.7552184020011192,0.7552184020011192
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12185,12838,322,2412,DERMASON,DERMASON,1.0,1.0,0.6,0.9710974900672537,0.9710974900672537
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12237,12383,1552,386,DERMASON,DERMASON,0.8,0.6666666666666666,0.6,0.8665661715527904,0.8665661715527904
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12237,12838,1552,2412,DERMASON,DERMASON,1.0,1.0,0.8999999999999998,0.9978722243405663,0.9978722243405663
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_dermason,12383,12838,386,2412,DERMASON,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.8442088173407524,0.8442088173407524
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,8943,2067,362,SIRA,SIRA,0.6,0.42857142857142855,0.2,0.6594111930493257,0.6594111930493257
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9111,2067,186,SIRA,SIRA,0.8,0.6666666666666666,0.3714285714285715,0.8241585891051387,0.8241585891051387
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9316,2067,462,SIRA,SIRA,0.6,0.42857142857142855,0.2,0.6450270990084571,0.6450270990084571
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9463,2067,1293,SIRA,SIRA,0.6,0.42857142857142855,0.5818181818181818,0.7148849100428204,0.7148849100428204
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9919,2067,1094,SIRA,SIRA,0.0,0.0,-0.8620689655172413,0.0,0.0
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,7636,9967,2067,1890,SIRA,SIRA,0.4,0.25,-0.5,-0.3136838076277529,0.3136838076277529
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9111,362,186,SIRA,SIRA,0.8,0.6666666666666666,0.8857142857142858,0.9144988052521306,0.9144988052521306
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9316,362,462,SIRA,SIRA,1.0,1.0,0.9999999999999999,0.9996315881889062,0.9996315881889062
within_selection_group,SHAP,logistic_regression,Logistic Regression,correct_sira,8943,9463,362,1293,SIRA,SIRA,1.0,1.0,0.09999999999999999,0.9448630656850596,0.9448630656850596
